;;;;
id;nome;descrizione;Categoria;
;;;;
1;Edamame;Fagioli giapponesi;1;
2;Goma Wakame;Insalata di alghe con sesamo;1;
3;Takosu;Polipo con aceto giapponese e alghe;1;
4;Wakamesu;Alghe con aceto giapponese;1;
5;Sunomono Moriawase;Alghe e pesce con aceto giapponese;1;
6;Yaki Gyoza;Ravioli di carne al vapore;1;
7;Harumaki;Involtini primavera;1;
8;Samosa Vegetale;Farina, verdure;1;
9;Zuppa Agropiccante; Funghi, piselli, bambù, carote, uova, tofu;2;
10;Misoshiru;Zuppa di miso con alghe e tofu;2;
11;Kaisen Sunomono;Zuppa con frutti di mare;2;
12;GOHAN;riso bianco;3;
13;RISO CON SALMONE;riso,salmone,verdure,uova;3;
14;YAKI DON;riso con pollo e uova;3;
15;SAKE DON;riso con salmone;3;
16;YAKI UDON;Spaghetti di riso saltati con gamberi e verdure;4;
17;RAMEN;Spaghetti in brodo con carne e verdure;4;
18;YAKI TORI;spiedini di pollo;5;
19;EBI YAKI;spiedini di gamberi;5;
20;PORK;spiedini di maiale;5;
21;GYUNIKU;spiedini di manzo;5;
22;SAKE TERIYAKI;salmone alla griglia con salsa teriyaki;5;
23;TORI;filetto di pollo grigliato;5;
24;TAKO YAKI;polpette di polpo;6;
25;YASAI TEMPURA;frittura di verdure;6;
26;EBI TEMPURA;frittura di gamberoni;6;
27;TORI KARAGE;pollo fritto;6;
28;TONKATSU;cotoletta di maiale;6;
29;SAKE;Salmone;7;
30;MAGURO;Tonno;7;
31;TAI;Orata;7;
32;SUZUKI;Spigola;7;
33;EBI;Gambero cotto;7;
34;AMAEBI;Gambero rosso;7;
35;SAKE;Salmone;7;
36;TEKKA;Tonno;7;
37;SUZUKI;Spigola;7;
38;TAI;Orata;8;
39;KAPPA;Cetrioli;8;
40;SAKEKAWA; Salmone grigliata con cetriolo;8;
41;Sake tempura;Rotolino fritto con salmone;8;
42;PHILADELPHIA Sake grilled;Salmone cotto, philadelphia;9;
43;PHILADELPHIA roll;salmone crudo, philadelphia, tobiko;9;
44;EBI TEMPURA;gambero fritto, sesamo;9;
45;CALIFORNIA;Granchio, cetriolo, avocado e tobiko;9;
46;Sake TOBIKO;salmone e uova di pesce volante;9;
47;RAINBOW Maki;Pesce misto;9;
48;Special AVOCADO;salmone grigliato, avocado, salsa maio spicy, philadelphia;9;
49;Special SAKE;salmone grigliato e uova di salmone, salsa maio e philadelphia;9;
50;TARTARE di tonno;Cipollina, philadelphia, arachidi, salsa e mango;9;
51;MAGURO tartare;tartare di tonno piccante, salsa maio spicy;9;
52;CHICKEN fritto;Pollo fritto con verdure;9;
53;YASAI uramaki;Verdure miste;9;
54;BLACK maki sake;salmone, philadelphia, salmone scottato, frutti di bosco;9;
55;BLACK maki pistacchio;salmone, salmone scottato, pistacchio;9;
56;SAKE avocado;Salmone, avocado;9;
57;Ebi tempura philadelphia;gambero in tempura, philadelphia e rucola;9;
58;Maki FRAGOLA;maki fritto con fragola;9;
59;URAMAKI lime;Salmone, avocado, lime, maionese, salsa e tobiko;9;
60;TARTARE SALMONE;avocado, tartare di salmone, spigola scottato, salsa piccante e teriyaki;9;
61;GAMBERI FRITTI E MANGO;gamberi fritti, mango, salmone scottato, pistacchio;9;
62;SALMONE E AVOCADO;sake, avocado, tobiko, piselli di wasabi;9;
63;GAMBERO FRITTO E ANGUILLA;gambero fritto, mango, anguilla;9;
64;TARTUFO ROLL;spigola,avocado, gambero rosso, salsa tartufo tobiko;9;
65;GAMBERI FRAGOLA;tempura di gamberi, fragola,philadelphia, sesamo,salsa teriyaki;9;
66;GAMBERI TARTAR SALMONE;tempura di gamberi, avocado, salmone, pistacchio;9;
67;GAMBERI MANGO;tempura di gamberi, salmone, mango, salsa di mango;9;
68;IKURA;Uova di salmone;10;
69;TOBIKO;uova di pesce volante;10;
70;SUSHI JO;tartare di salmone, philadelphia;10;
71;KANI;granchio e avocado;10;
72;SPICY SALMONE;salmone con salsa piccante;10;
73;SAKE;salmone;11;
74;TEKKA;Tonno;11;
75;SAKE Avocado;salmone e avocado;11;
76;CALIFORNIA;granchio, avocado e uova;11;
77;TARTARE di salmone;salmone, philadelphia;11;
78;SAKE;Salmone;12;
79;MAGURO;Tonno;12;
80;SAKE e Maguro;Salmone e tonno;12;
81;USUZUKURI;Fettine di pesce misto con salsa ponzu;13;
82;TUNA tataki;Tonno scottato con pistacchio;13;
83;SAKE tataki;Salmone scottato con pistacchio;13;
84;SAKE tartare;Salmone e avocado tartare;13;
85;TARTARE di tonno;Tonno, philadelphia, cipolla e tobiko;13;
86;SALMONE rucola;Salmone, rucola, sesamo e salsa;13;
